Thu Feb 15 23:20:15 GMT 2024 - User: root | PID: 676 | Command: uuid1
Thu Feb 15 23:24:26 GMT 2024 - User: root | PID: 689 | Command: directory
Thu Feb 15 23:25:22 GMT 2024 - User: root | PID: 709 | Command: directory
Thu Feb 15 23:26:10 GMT 2024 - User: root | PID: 729 | Command: directory
Thu Feb 15 23:27:10 GMT 2024 - User: root | PID: 749 | Command: directory
Thu Feb 15 23:29:59 GMT 2024 - User: root | PID: 776 | Command: directory
Fri Feb 16 01:05:04 GMT 2024 - User: root | PID: 986 | Command: uuid1
Fri Feb 16 01:12:45 GMT 2024 - User: root | PID: 998 | Command: uuid1
Fri Feb 16 01:15:39 GMT 2024 - User: root | PID: 1033 | Command: uuid1
Fri Feb 16 01:16:35 GMT 2024 - User: root | PID: 1051 | Command: uuid1
Mon Mar  4 14:03:52 GMT 2024 - User: root | PID: 517 | Command: uuid1
Mon Mar  4 14:06:42 GMT 2024 - User: root | PID: 523 | Command: uuid2
Mon Mar  4 14:06:52 GMT 2024 - User: root | PID: 532 | Command: uuid3
Mon Mar  4 14:07:37 GMT 2024 - User: root | PID: 543 | Command: uuid1
Mon Mar  4 14:07:54 GMT 2024 - User: root | PID: 547 | Command: uuid2
Mon Mar  4 14:25:08 GMT 2024 - User: root | PID: 645 | Command: uuid1
Mon Mar  4 14:25:20 GMT 2024 - User: root | PID: 655 | Command: uuid1
Mon Mar  4 14:34:37 GMT 2024 - User: root | PID: 676 | Command: directory
Mon Mar  4 14:39:13 GMT 2024 - User: root | PID: 723 | Command: directory
